Rk,Player,badcol,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines,abrinal01,SG,25,OKC,31,2,588,3.4,9.6,0.357,2.5,7.8,0.323,0.9,1.8,0.5,0.7,0.8,0.923,0.3,2.6,2.9,1.2,1,0.4,0.9,3.2,10.1
2,Quincy Acy,acyqu01,PF,28,PHO,10,0,123,1.2,5.3,0.222,0.6,4.4,0.133,0.6,0.9,0.667,2,2.9,0.7,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7,5
3,Jaylen Adams,adamsja01,PG,22,ATL,34,1,428,3.2,9.3,0.345,2.1,6.2,0.338,1.1,3,0.361,0.6,0.8,0.778,0.9,4.1,5,5.5,1.2,0.4,2.4,3.8,9.1
4,Steven Adams,adamsst01,C,25,OKC,80,80,2669,6.5,10.9,0.595,0,0,0,6.5,10.9,0.596,2,3.9,0.5,5.3,5,10.3,1.7,1.6,1,1.8,2.8,14.9
5,Bam Adebayo,adebaba01,C,21,MIA,82,28,1913,5.3,9.1,0.576,0.1,0.3,0.2,5.2,8.9,0.588,3.1,4.3,0.735,3.1,8.1,11.2,3.5,1.3,1.2,2.3,3.8,13.7
6,Deng Adel,adelde01,SF,21,CLE,19,3,194,2,6.7,0.306,1.1,4.3,0.261,0.9,2.4,0.385,0.7,0.7,1,0.6,3,3.5,0.9,0.2,0.7,1.1,2.4,5.9
7,DeVaughn Akoon-Purcell,akoonde01,SG,25,DEN,7,0,22,4.9,16.4,0.3,0,6.5,0,4.9,9.8,0.5,1.6,3.3,0.5,1.6,4.9,6.5,9.8,3.3,0,3.3,6.5,11.5
8,LaMarcus Aldridge,aldrila01,C,33,SAS,81,81,2687,9.2,17.7,0.519,0.1,0.6,0.238,9,17.1,0.528,4.7,5.5,0.847,3.4,6.6,10,2.6,0.6,1.4,1.9,2.4,23.1
9,Rawle Alkins,alkinra01,SG,21,CHI,10,1,120,3.9,11.7,0.333,0.9,3.6,0.25,3,8.1,0.37,2.4,3.6,0.667,3.3,4.5,7.8,3.9,0.3,0,2.4,2.1,11.1
10,Grayson Allen,allengr01,SG,23,UTA,38,2,416,5.8,15.4,0.376,2.8,8.6,0.323,3,6.8,0.443,3.9,5.2,0.75,0.3,1.7,2,2.2,0.5,0.5,2.9,4.1,18.3
